Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
13811680.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
12492160.00;0.00;0.00;60964.89;0;0;0;0;0;80.81;0.00;0.00
13835140.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
13265580.00;0.00;0.00;65319.52;0;0;0;0;0;86.58;0.00;0.00
13749580.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
13250400.00;0.00;-14934932.96;65319.52;0;0;0;0;0;86.58;0.00;7623.71
13811680.00;0.00;-15575238.38;67496.84;0;0;0;0;0;89.47;0.00;7950.56
13873780.00;0.00;-15647850.48;67496.84;0;0;0;0;0;89.47;0.00;7987.62
13312500.00;0.00;-15007536.23;65319.52;0;0;0;0;0;86.58;0.00;7660.77
13873780.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
13351140.00;0.00;0.00;65319.52;0;0;0;0;0;86.58;0.00;0.00
13648840.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
