;Gas consumption [Nm3];Electric consumption [Wh];Oil consumption [L];Wood consumption [kg];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW demand [W]
2023-01-01 00:00:00;0.0;251507.37320171465;0.0;0.0;36580846.852621846;0.0;8670715.545475708;3029439.4792054263;24815558.788733423
2023-01-01 01:00:00;0.0;251507.37320171465;0.0;0.0;36620237.22661204;0.0;8147242.072952245;3029439.4792054263;24816526.59223388
2023-01-01 02:00:00;0.0;251507.37320171465;0.0;0.0;36624242.46530101;0.0;7767577.989391196;3029439.4792054263;24817494.39573429
2023-01-01 03:00:00;0.0;251507.37320171465;0.0;0.0;36726261.4598553;0.0;7596132.085045953;3029439.4792054263;25036701.888581805
2023-01-01 04:00:00;0.0;251507.37320171465;0.0;0.0;36874902.817929864;0.0;7512029.115825165;3029439.4792054263;25049767.23583762
2023-01-01 05:00:00;0.0;251507.37320171465;0.0;0.0;37078521.92917498;0.0;7558898.493244432;3029439.4792054263;25077833.53735014
2023-01-01 06:00:00;0.0;314296.61534167244;0.0;0.0;37235996.53880143;0.0;7554083.313149765;3029439.4792054263;25282227.837633785
2023-01-01 07:00:00;0.0;1391507.0382307568;0.0;0.0;35711244.47491113;0.0;7503040.182989709;3029439.4792054263;3333573.427111516
2023-01-01 08:00:00;0.0;1391507.0382307568;0.0;0.0;35557522.36650112;0.0;7403650.957385344;3029439.4792054263;3336476.837612811
2023-01-01 09:00:00;0.0;1297659.3347020245;0.0;0.0;34918425.244482525;0.0;7259187.313348355;3029439.4792054263;3338896.3463638853
2023-01-01 10:00:00;0.0;1255799.8399420516;0.0;0.0;33071730.520962942;0.0;6516091.948887311;3029439.4792054263;3339864.1498643137
2023-01-01 11:00:00;0.0;1302723.6917064188;0.0;0.0;31035852.49832392;0.0;5775591.182382257;3029439.4792054263;3339380.2481140993
2023-01-01 12:00:00;0.0;1302723.6917064188;0.0;0.0;29419468.885342024;0.0;5047549.746935145;3029439.4792054263;3260422.9097457873
2023-01-01 13:00:00;0.0;1302723.6917064188;0.0;0.0;28540500.348704927;0.0;5148994.982199143;3029439.4792054263;3261874.614996436
2023-01-01 14:00:00;0.0;1302723.6917064188;0.0;0.0;28129605.36997789;0.0;5275771.166912052;3029439.4792054263;3260422.9097457873
2023-01-01 15:00:00;0.0;1255799.8399420516;0.0;0.0;27884470.305992533;0.0;5378347.344352575;3029439.4792054263;3261390.713246218
2023-01-01 16:00:00;0.0;1318589.0820820103;0.0;0.0;28801701.67141086;0.0;5749436.98665306;3029439.4792054263;3260906.811496005
2023-01-01 17:00:00;0.0;429074.06625039113;0.0;0.0;30770459.416322604;0.0;6107642.374712476;3029439.4792054263;3181465.5713774776
2023-01-01 18:00:00;0.0;429074.06625039113;0.0;0.0;31875619.850934908;0.0;6478060.998870995;3029439.4792054263;3006589.2778569325
2023-01-01 19:00:00;0.0;475997.91801475745;0.0;0.0;32102943.821662422;0.0;6630835.046713987;3029439.4792054263;3005621.4743565004
2023-01-01 20:00:00;0.0;475997.91801475745;0.0;0.0;32463621.321835026;0.0;6786207.130687656;3029439.4792054263;3000298.5551041365
2023-01-01 21:00:00;0.0;475997.91801475745;0.0;0.0;32840991.67007988;0.0;6934983.212730715;3029439.4792054263;2990620.5200998285
2023-01-01 22:00:00;0.0;361220.46710603876;0.0;0.0;33007106.493594766;0.0;6885603.764396534;3029439.4792054263;2927713.2925718417
2023-01-01 23:00:00;0.0;361220.46710603876;0.0;0.0;33055248.372172758;0.0;6786207.130687656;3029439.4792054263;2698343.8629697934
